station,voivodeship,latEPSG2180,lonEPSG2180,latWGS84,lonWGS84
Lizawice,dolnośląskie,374589.63,346653.24,50.97305591954654,17.21319190546559
Zębice Wrocławskie,dolnośląskie,371131.24,350441.85,51.006353836947184,17.162599768820705
Jakuszyce,dolnośląskie,248936.42,334135.99,50.81962071874214,15.434314614666347
Trzcińsko,dolnośląskie,280036.83,339815.71,50.883291531129444,15.871847207451463
Szllarska Poręba Huta,dolnośląskie,253399.57,334711.61,50.826707412435134,15.497186937408832
Szklarska Poręba Dolna,dolnośląskie,257712.87,336920.57,50.84836389346811,15.556874727889085
Szklarska Poręba Górna,dolnośląskie,254954.82,335295,50.83260615351239,15.518844621051215
Janowice Wielkie,dolnośląskie,283311.56,339142.52,50.87848262705303,15.918744687571753
Szklarska Poręba Średnia,dolnośląskie,256469.84,335877.41,50.83847523857585,15.539938111982917
Stara Kamienica,dolnośląskie,258691.29,344186.64,50.914016742005984,15.5659542218979
Rybnica,dolnośląskie,264285.55,343538.74,50.9105113491828,15.64583682979984
Piechowice,dolnośląskie,260164.68,337178.67,50.851703512359755,15.591481948230225
Wojanów,dolnośląskie,276504.93,340128.14,50.884741746273505,15.821509954027231
Górzyniec,dolnośląskie,258518.7,338207.07,50.86025277236528,15.567455509458757
Świeradów-Zdrój,dolnośląskie,243045.2,344639.5,50.911327284076336,15.343446787334285
Batowice Lubańskie,dolnośląskie,230893.55,365263.06,51.09088606796096,15.155640637006648
Lubań Śląski,dolnośląskie,240681.74,367061.4,51.11153875799538,15.293859993428407
Oleszna Podgórska,dolnośląskie,253616.53,357699.55,51.033195663308994,15.484720571149182
Ubocze,dolnośląskie,249212.14,360426.18,51.05576866565007,15.42012227901231
Młyńsko,dolnośląskie,250976.79,352977.73,50.98966565014061,15.450376593771177
Gryfów Śląski,dolnośląskie,249705.44,357963.66,51.03387633338794,15.428851656260754
Proszówka,dolnośląskie,249108.45,355155.18,51.00840252037716,15.42229526472025
Kwieciszów,dolnośląskie,254309.53,345599.73,50.924855110698005,15.502768642771896
PKP Rębiszów,dolnośląskie,251145.85,348382.84,50.94848581152608,15.455926153541146
Niwnica,dolnośląskie,255339.2,369456,51.139484999520384,15.501285912528937
Lwówek Śląski,dolnośląskie,261648.21,365841.2,51.109689502907884,15.5937240661808
Brzeziniec,dolnośląskie,247476.35,353680.6,50.9944502319448,15.400096512818322
Mirsk,dolnośląskie,245981.57,351386.03,50.973193304369254,15.380437003786039
Wleń,dolnośląskie,266432.51,355193.59,51.016045822908836,15.668847774899481
Marczów,dolnośląskie,266319.84,359080.92,51.050907898971694,15.664736207410508
Pilchowice-Zapora,dolnośląskie,265176.88,349972.78,50.96865221743679,15.654348773523813
Jerzmanki,dolnośląskie,224474.22,369719.19,51.12782614868793,15.060762258050236
Pieńsk,dolnośląskie,224213.38,382818.64,51.24524909103016,15.046983897603626
Lasów,dolnośląskie,223218.15,380524.24,51.22417869532417,15.03452827039986
Turoszów,dolnośląskie,212742.65,349692.53,50.94238105455619,14.90936177963913
