station;latitude;longitude
 Krosno - Polanka;49.70189965858963;21.722303139043433
 Przystanek Będzino;54.21119222204636;15.992093447368575
 Wiewiecko;53.5263152354755;15.650389246316953
?;50.18615500318696;19.005619842971704
ALEKSANDRÓW KUJAWSKI;52.8758617301087;18.696269965974203
Aleksandrów Kujawski;52.875;18.6969
Aleksandrów Kujawski Wąskotorowy;52.864;18.708
Alwernia;50.059;19.5261
Anastazewo (stacja kolejowa);52.446999999999996;18.0239
Andrychów;49.85556622311202;19.35254153039968
Andrychów Górnica;49.858263968362806;19.324312208224946
Andrzejówka;49.340921838039954;20.82079686790826
Andrzejówka (przystanek kolejowy);49.339;20.8214
Anielin Gradowo;54.251000000000005;21.2733
Anieliny;53.12924357052018;17.488209067313527
Annolesie;51.05872188038437;18.93882739286065
Annopole;53.336999999999996;16.9689
Antonie Ostrołęckie;53.11;21.5286
Antonin;51.5132123202275;17.8604552287413
Antoninek;52.40916584923493;17.02981902606097
Antoniów;51.4757769971831;20.198241338716734
Antoniówka;51.424664663994655;21.278505655301085
Arcelin;52.659934549181976;20.318004044825468
Arcugowo;52.45;17.6898
Arynów;52.19639;21.538067
Augustów;53.85244961428627;23.02663166783617
Augustów Port;53.86239625319542;23.003881970694746
Augustówka;51.986999999999995;21.5136
Auschwitz (obóz);50.03472;19.176411111
Azory;52.24100000000001;19.303
Babi Dół;54.30166666;18.288611111
Babiak;52.354035180451184;18.66991879768064
Babica;49.935106881692285;21.901615933532465
Babica Kolonia;49.933785427650996;21.870077835279044
Babice;50.141999999999996;18.2994
Babigoszcz (przystanek kolejowy);53.674;14.8136
Babimost;52.16842594331463;15.815152400925932
Baborów;50.156000000000006;17.9775
Baborówko;52.582792084027325;16.626835832798342
Baboszewo;52.681999999999995;20.2603
Baby;51.535931783941926;19.716296298806267
Baby (stacja kolejowa);51.536;19.7167
Bachanowo;54.23833333;22.801666666
Bachorce;52.675450666743096;18.41942057509543
Bachórz;49.835078965972926;22.24445384550655
Baciuty;53.046928871729186;22.98334786546464
Baczyna;52.754622030149285;15.104892048646045
Baczyna (przystanek kolejowy);52.75;15.1073
Bagicz;54.191;15.6975
Bagienice (przystanek kolejowy);53.851000000000006;21.2368
Bajtkowo;53.736999999999995;22.2403
Bakończyce;49.778380974201745;22.7950466438662
Balbinka;52.4;16.9791
Balin;50.178665919914465;19.38415188165192
Balinka;53.768193228186725;23.160647121327425
Balnica;49.185;22.2157
Banie;53.101000000000006;14.6486
Banie Mazurskie;54.242;22.0389
Baniewice (przystanek kolejowy);53.086000000000006;14.6404
Banino;54.388000000000005;18.4436
Baranowo;53.820914818952225;21.443989646500906
Baranowo (przystanek kolejowy);53.82;21.4431
Baranów Sandomierski;50.47253576608446;21.559707459143187
Baranówka;50.146;20.0954
Barchów;52.51825043519603;21.64897930384259
Barciany;54.21;21.3562
Barcice;49.52676109216456;20.648536387705352
Barcice (przystanek kolejowy);49.526;20.6485
Barcin;52.85276161804337;17.939534854925352
Barcino;54.275931209448345;16.972432222819805
Barcino (przystanek kolejowy);54.275;16.9724
Barczewo;53.84498297485223;20.70119330641532
Barcząca;52.156000000000006;21.6261
Barczęca;52.1566404393859;21.62737641565452
Bardo;50.509599371166324;16.75821224285773
Bardo Przyłęk;50.0;16.75
Bardo Śląskie;50.50484037675165;16.733800139096033
Bargędzino;54.7241666;17.72083333
Barlinek;52.998000000000005;15.2179
Barnisław (przystanek kolejowy);53.36600000000001;14.4042
Barnisławice (przystanek kolejowy);53.823;15.0294
Barnowo;54.239;17.2403
Barnówko;52.769;14.74
Barszów (stacja kolejowa);51.521;16.1901
Bartnica;50.64202906627889;16.407790466064228
Bartodzieje;51.524142694972255;21.178251290890607
Bartosze (przystanek kolejowy);53.821000000000005;22.2701
Bartoszyce;54.252372367128785;20.8187150078134
Bartąg;53.713202977079575;20.447244205139718
Barwałd Górny;49.8650789564446;19.621884273392578
Barwałd Średni;49.87247929409688;19.597906228902836
Barwice;53.751000000000005;16.3581
Barzkowice;53.32;15.2634
Barłogi;52.21562826249897;18.76647672565606
Barłogi (stacja kolejowa);52.21611111;18.768611111
Baszewice;53.862820423032275;15.192353338500125
Basznia;50.178999999999995;23.251
Basznia Dolna;50.191;23.2088
Batowice Lubańskie;51.09088606796096;15.155640637006648
Bażanowice;49.73445842646832;18.702218321641464
Bażyny (stacja kolejowa);54.133;20.05.
Bednary;52.105334272450314;20.063965391935746
Bedoń;51.731897468328114;19.643168725468964
